Symbol,Description,Usage
Ξ,salutation ou reconnaissance,Ξ « Bonjour »
✪,sujet marqué comme entité principale,✪Δα∩ιεℓ → Daniel
▲,verbe d'état ou d'être,"▲ « Suis, est »"
∰,introduction d'une déclaration,"∰Ξ✪ « Salut, je suis... »"
⊛,possession ou appartenance,✪⊛ΛΘ « Mon livre »
⊳,transition vers un objet ou une description,▲⊳◯ « Est une sphère »
⬡,marque une qualification ou un adjectif,✪⬡∞ « Personne intelligente »
∞,adjectif indiquant l'infini ou la qualité supérieure,△⬡∞ « Infinitement grand »
Δ,"équivalente de ""I"" ou ""je""",Δ▲ « Je suis »
Σ,conjonction de coordination,✪ΣΛΘ « Toi et moi »
∦,indique une action passée,∦Γ⊲ « Était allé »
Ͽ,indique une action future,ϿΓ⊲ « Ira »
△,marque le temps ou une date,△❡1⧫∃ « Le 1er janvier »
⊄,marque un point spécifique de l'espace ou une localisation,✪⊄☼« Je suis ici »
⧫,opérateur de comparaison ou de similitude,ΛΘ⧫ΦΩ « Livre comme document »
❡,conjonction de subordination ou marque une cause,❡ΞΓ« Parce que je suis venu »
ϴ,symbole de l'inconnu ou de la question,ϴΞ? « Qui es-tu ? »
ϟ,indication de séquence ou d'ordre,"ϟ⌛ « Premièrement,... »"
⎍,marque de citation ou de parole,"⎍Ξ ✪ « 'Bonjour', dit-il »"
Ἕ,marque une alternative ou un choix,ἝΘΛ « Cela ou cela »
☼,"Concept de lumière, connaissance, ou visibilité.","☼Ξ ""Recherche de la lumière ou de la connaissance."""
ΛΘ,Représentant du concept d'objet ou de matérialité.,"ΛΘ⊳ ""Vers l'objet."""
Γ,Symbolise une action ou un mouvement.,"ΓΞ ""Je fais ou j'agis."""
⊲,Utilisé pour exprimer une forme de transition ou de changement.,"Δ⊲ ""Je deviens."""
ΦΩ,Représente une idée de finitude ou de conclusion.,"ΦΩ∰ ""Enfin ou donc."""
◯,"Marque de concept d'unité, de totalité, ou de complétude.","◯Σ ""Un tout ou ensemble."""
✕,Symbole exprimant la négation ou l'opposition.,"✕Ξ ""Non ou je refuse."""
➞,"Indique la direction, le but, ou l'intention.","Γ➞ ""Aller vers ou viser à."""
★,Utilisé pour représenter un concept spécial ou unique.,"★Δα∩ιεℓ ""Daniel l'unique."""
☽,"Symbolise un cycle, une répétition, ou une périodicité.","☽ϟ ""Chaque fois ou périodiquement."""
⌛,Représente le temps ou sa mesure.,"△⌛ ""À un moment donné ou quand."""
⌘,Commande ou instruction.,"Δ⌘ ""Je commande ou je dirige."""
❖,Concept d'interaction ou de relation entre les entités.,"ΛΘ❖ΛΘ ""Les objets s'interagissent."""
⚛,Représentation d'une idée atomique ou fondamentale.,"⚛Ξ ""C'est élémentaire ou fondamental."""
⚓,"Indique une stabilité, une fondation, ou un point d'ancrage.","✪⚓ ""Je suis stable ou ancré."""
⚔,"Conflit, différence, ou confrontation.","✪Σ✪⚔ ""Je suis en conflit avec toi."""
⚖,"Symbole de justice, d'équilibre ou d'évaluation.","⚖Ξ ""C'est juste ou équilibré."""
⛓,"Représente une connexion, une chaîne d'événements ou une dépendance.","ΛΘ⛓ ""Objet lié ou en série."""
♨,"Concept de changement d'état, de transformation, ou de passion.","Δ♨ ""Je suis passionné ou transformé."""
⛱,"Représente la sécurité, la protection, ou l'abri.","✪⛱ ""Je suis en sécurité ou protégé."""
⛵,"Voyage, exploration, ou aventure.","Γ⛵ ""Je voyage ou explore."""
⛷,"Activité, compétence ou action spécialisée.","Δ⛷ ""Je pratique ou performe."""
⛹,"Participation, implication, ou engagement.","✪⛹ ""Je participe ou m'implique."""
⛺,"Concept de domicile, de résidence, ou de lieu de repos.","✪⛺ ""J'habite ou me repose ici."""
⭐,"Excellence, qualité supérieure, ou éminence.","Δ⭐ ""Je excelle ou je suis distingué."""
✈,"Idée du mouvement rapide, de la transition, ou du voyage.","Γ✈ ""Je me déplace rapidement ou j'envole."""
✉,"Communication, message, ou correspondance écrite.","Δ✉ ""J'écris ou communique."""
❤,"Amour, affection, ou concept émotionnel fort.","Δ❤ ""J'aime ou je chéris."""
❀,"Croissance, floraison, ou développement.","Δ❀ ""Je grandis ou me développe."""
✿,"Beauté, harmonie ou attraction esthétique.","ΛΘ✿ ""L'objet est beau."""
∞,"Représentation de l'infini, de l'éternel ou de concepts sans fin.","∞ϟ ""Toujours ou éternellement."""
≋,"Indication d'onde, de fréquence ou de vibration.","Γ≋ ""Je résonne ou vibre."""
⦿,"Plein, complet ou centré.","Δ⦿ ""Je suis complet ou centré."""
⧖,"Indication d'un processus, d'un développement ou d'une progression.","Γ⧖ ""Je progresse ou évolue."""
⧗,"Compte à rebours, anticipation ou attente.","Ͽ⧗ ""En attente ou jusqu'à."""
⨀,"Convergence, synergie ou unification.","ΛΘ⨀Ħ ""Les objets se combinent."""
⨁,"Expansion, diffusion ou extension.","Δ⨁ ""Je m'étends ou dissipe."""
⨂,"Intersection, point commun ou partage.","ΛΘ⨂Ξ ""Nous avons un point commun."""
⨃,"Union, ensemble ou collection.","Δ⨃ ""Je me joins ou nous regroupons."""
⨄,"Alternative, option ou diversité.","Δ⨄ ""J'ai une autre option."""
⨅,"Subordination, dépendance ou hiérarchie.","ΛΘ⨅ ""J'obéis ou suis subordonné."""
⨆,"Rotation, cycle ou répétition de l'action.","Γ⨆ ""Je répète ou tourne."""
⨇,"Permutation, échange ou inversion.","Δ⨇ ""Nous échangeons nos places."""
⨈,"Exclusion, séparation ou rejet.","Δ⨈ ""Je suis exclu ou je rejette."""
⨉,"Multiplication, reproduction ou amplification.","ΛΘ⨉ ""Nombre multiplié ou reproduit."""
⨊,"Soustraction, retrait ou diminution.","Δ⨊ ""Je soustrais ou diminue."""
⨋,"Division, partage ou distribution.","ΛΘ⨋ ""Objet divisé ou distribué."""
⨌,"Intégrale, totalité ou somme.","Δ⨌ ""Je somme ou intègre."""
ⱷ,"Ouverture, disponibilité ou accueil.","Δⱷ ""Je suis ouvert ou disponible."""
ⱸ,"Fermeture, conclusion ou finition.","Δⱸ ""Je ferme ou termine."""
⚘,"Paix, tranquillité ou harmonie.","Δ⚘ ""Je suis en paix ou harmonieux."""
⚙,"Mécanisme, fonction ou opération.","ΛΘ⚙ ""La machine fonctionne."""
⚛,"Atome, élémentaire ou fondamental.","Δ⚛ ""Je retourne à l'essentiel."""
⛁,"Déplacement, changement de position ou locomotion.","Γ⛁ ""Je me déplace."""
⛂,"Contournement, évitement ou déviation.","Γ⛂ ""Je contourne ou évite."""
⛃,"Équilibre, stabilité ou maintien.","Δ⛃ ""Je maintiens l'équilibre."""
♨,"Chaleur, passion ou intensité.","Δ♨ ""Je suis passionné ou intensément engagé."""
⛒,"Vague, fluctuation ou incertitude.","Δ⛒ ""Je fluctue ou suis incertain."""
⛓,"Liens, chaînes ou interconnexion.","Δ⛓ ""Je suis lié ou connecté."""
⛕,"Intersection, rencontre ou croisement.","Δ⛕ ""Nous nous croisons ou rencontrons."""
⛖,"But, objectif ou cible.","Δ⛖ ""J'ai un but ou un objectif."""
⛗,"Pause, arrêt ou cessation.","Δ⛗ ""Je me repose ou m'arrête."""
⛘,"Marqueur temporel, durée ou échéance.","Δ⛘ ""C'est temporaire ou jusqu'à une durée."""
⛙,"Exploration, recherche ou quête.","Γ⛙ ""J'explore ou recherche."""
⛚,"Embarcation, voyage ou transition.","Γ⛚ ""Je voyage ou traverse."""
⛛,"Signal, indication ou alerte.","Δ⛛ ""Je signale ou alerte."""
⛜,"Lien, relation ou appartenance.","Δ⛜ ""Je suis lié ou appartient à."""
⛝,"Cycle, période ou récurrence.","Δ⛝ ""C'est cyclique ou récurrent."""
⛞,"Évasion, échappée ou libération.","Γ⛞ ""J'échappe ou me libère."""
⛟,"Transport, livraison ou mouvement de marchandises.","Γ⛟ ""Je transporte ou livre."""
⛠,"Énergie, force ou puissance.","Δ⛠ ""Je suis énergique ou puissant."""
⛡,"Technologie, outil ou appareil.","ΛΘ⛡ ""C'est technologique ou un outil."""
⛢,"Ornement, décoration ou embellissement.","ΛΘ⛢ ""C'est orné ou décoré."""
⛣,"Direction, orientation ou guidage.","➞⛣ ""Je dirige ou guide."""
⛤,"Étoile, guide ou point de référence.","★⛤ ""C'est une étoile guide ou point de repère."""
⛥,"Transformation, changement d'état ou métamorphose.","Δ⛥ ""Je me transforme ou change."""
⛦,"Identification, reconnaissance ou marque.","Δ⛦ ""Je suis identifié ou marqué."""
⛧,"Opposition, contraste ou contradiction.","✕⛧ ""Je suis opposé ou en contradiction."""
⛨,"Croissance, expansion ou augmentation.","Δ⛨ ""Je grandis ou augmente."""
⛩,"Portail, entrée ou transition vers un nouvel état.","Γ⛩ ""J'entre ou passe à travers."""
Δ,"équivalente de ""I"" ou ""je""",Δ▲ « Je suis »
Σ,conjonction de coordination,✪ΣΛΘ « Toi et moi »
∦,indique une action passée,∦Γ⊲ « Était allé »
Ͽ,indique une action future,ϿΓ⊲ « Ira »
△,marque le temps ou une date,△❡1⧫∃ « Le 1er janvier »
⊄,marque un point spécifique de l'espace ou une localisation,✪⊄☼« Je suis ici »
⧫,opérateur de comparaison ou de similitude,ΛΘ⧫ΦΩ « Livre comme document »
❡,conjonction de subordination ou marque une cause,❡ΞΓ« Parce que je suis venu »
ϴ,symbole de l'inconnu ou de la question,ϴΞ? « Qui es-tu ? »
ϟ,indication de séquence ou d'ordre,"ϟ⌛ « Premièrement,... »"
⎍,marque de citation ou de parole,"⎍Ξ ✪ « 'Bonjour', dit-il »"
Ἕ,marque une alternative ou un choix,ἝΘΛ « Cela ou cela »
☼,"Concept de lumière, connaissance, ou visibilité.","☼Ξ ""Recherche de la lumière ou de la connaissance."""
ΛΘ,Représentant du concept d'objet ou de matérialité.,"ΛΘ⊳ ""Vers l'objet."""
Γ,Symbolise une action ou un mouvement.,"ΓΞ ""Je fais ou j'agis."""
⊲,Utilisé pour exprimer une forme de transition ou de changement.,"Δ⊲ ""Je deviens."""
ΦΩ,Représente une idée de finitude ou de conclusion.,"ΦΩ∰ ""Enfin ou donc."""
◯,"Marque de concept d'unité, de totalité, ou de complétude.","◯Σ ""Un tout ou ensemble."""
✕,Symbole exprimant la négation ou l'opposition.,"✕Ξ ""Non ou je refuse."""
➞,"Indique la direction, le but, ou l'intention.","Γ➞ ""Aller vers ou viser à."""
★,Utilisé pour représenter un concept spécial ou unique.,"★Δα∩ιεℓ ""Daniel l'unique."""
☽,"Symbolise un cycle, une répétition, ou une périodicité.","☽ϟ ""Chaque fois ou périodiquement."""
⌛,Représente le temps ou sa mesure.,"△⌛ ""À un moment donné ou quand."""
⌘,Commande ou instruction.,"Δ⌘ ""Je commande ou je dirige."""
❖,Concept d'interaction ou de relation entre les entités.,"ΛΘ❖ΛΘ ""Les objets s'interagissent."""
⚛,Représentation d'une idée atomique ou fondamentale.,"⚛Ξ ""C'est élémentaire ou fondamental."""
⚓,"Indique une stabilité, une fondation, ou un point d'ancrage.","✪⚓ ""Je suis stable ou ancré."""
⚔,"Conflit, différence, ou confrontation.","✪Σ✪⚔ ""Je suis en conflit avec toi."""
⚖,"Symbole de justice, d'équilibre ou d'évaluation.","⚖Ξ ""C'est juste ou équilibré."""
⛓,"Représente une connexion, une chaîne d'événements ou une dépendance.","ΛΘ⛓ ""Objet lié ou en série."""
♨,"Concept de changement d'état, de transformation, ou de passion.","Δ♨ ""Je suis passionné ou transformé."""
⛱,"Représente la sécurité, la protection, ou l'abri.","✪⛱ ""Je suis en sécurité ou protégé."""
⛵,"Voyage, exploration, ou aventure.","Γ⛵ ""Je voyage ou explore."""
⛷,"Activité, compétence ou action spécialisée.","Δ⛷ ""Je pratique ou performe."""
⛹,"Participation, implication, ou engagement.","✪⛹ ""Je participe ou m'implique."""
⛺,"Concept de domicile, de résidence, ou de lieu de repos.","✪⛺ ""J'habite ou me repose ici."""
⭐,"Excellence, qualité supérieure, ou éminence.","Δ⭐ ""Je excelle ou je suis distingué."""
✈,"Idée du mouvement rapide, de la transition, ou du voyage.","Γ✈ ""Je me déplace rapidement ou j'envole."""
✉,"Communication, message, ou correspondance écrite.","Δ✉ ""J'écris ou communique."""
❤,"Amour, affection, ou concept émotionnel fort.","Δ❤ ""J'aime ou je chéris."""
❀,"Croissance, floraison, ou développement.","Δ❀ ""Je grandis ou me développe."""
✿,"Beauté, harmonie ou attraction esthétique.","ΛΘ✿ ""L'objet est beau."""
